spatial id,temporal id,Target (normal),Normal target,occurrence t-10,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,11,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0
3,12,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0
3,13,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0
3,14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3,15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1
3,16,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
3,17,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0
3,18,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0
3,19,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0
3,20,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1
3,21,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0
3,22,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0
3,23,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0
3,24,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0
3,25,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0
3,26,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
3,27,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
3,28,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0
3,29,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
3,30,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1
3,31,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
3,32,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0
3,33,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0
3,34,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0
3,35,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
3,36,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
3,37,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
3,38,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
3,39,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0
3,40,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0
3,41,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1
3,42,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0
