spatial id,temporal id,Target (normal),Normal target,occurrence t-11,occurrence t-10,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,12,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
3,13,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
3,14,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
3,15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
3,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
3,17,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
3,18,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
3,19,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
3,20,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1
3,21,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0
3,22,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0
3,23,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
3,24,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3,25,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0
3,26,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
3,27,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
3,28,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
3,29,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
3,30,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1
3,31,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
3,32,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
3,33,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
3,34,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
3,35,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
3,36,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0
3,37,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
3,38,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
3,39,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
3,40,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
3,41,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1
3,42,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
3,43,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
3,44,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
3,45,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
3,46,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1
3,47,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0
3,48,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0
3,49,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
3,50,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3,51,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0
3,52,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
3,53,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
3,54,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
3,55,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
3,56,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
3,57,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
3,58,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,59,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,60,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,61,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
3,62,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,63,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,64,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,65,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,66,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,67,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,68,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
3,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,70,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,71,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
3,72,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
3,73,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0
3,74,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
3,75,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0
3,76,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
3,77,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
3,78,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1
3,79,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
3,80,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0
3,81,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
3,82,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0
3,83,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1
3,84,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0
3,85,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1
3,86,1.0,1.0,0,0,0,1,0,0,0,0,1,0,1,0
3,87,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0
3,88,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0
3,89,1.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0
3,90,1.0,1.0,0,0,0,0,1,0,1,0,0,0,0,1
3,91,1.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0
3,92,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1
3,93,1.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0
3,94,0.0,0.0,1,0,1,0,0,0,0,1,0,1,0,0
3,95,1.0,1.0,0,1,0,0,0,0,1,0,1,0,0,0
3,96,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1
3,97,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0
3,98,1.0,1.0,0,0,0,1,0,1,0,0,0,1,0,0
3,99,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,1
3,100,1.0,1.0,0,1,0,1,0,0,0,1,0,0,1,1
3,101,0.0,0.0,1,0,1,0,0,0,1,0,0,1,1,1
3,102,0.0,0.0,0,1,0,0,0,1,0,0,1,1,1,0
3,103,0.0,0.0,1,0,0,0,1,0,0,1,1,1,0,1
3,104,0.0,0.0,0,0,0,1,0,0,1,1,1,0,1,0
3,105,0.0,0.0,0,0,1,0,0,1,1,1,0,1,0,1
3,106,1.0,1.0,0,1,0,0,1,1,1,0,1,0,1,0
3,107,0.0,0.0,1,0,0,1,1,1,0,1,0,1,0,0
3,108,0.0,0.0,0,0,1,1,1,0,1,0,1,0,0,1
3,109,0.0,0.0,0,1,1,1,0,1,0,1,0,0,1,0
3,110,1.0,1.0,1,1,1,0,1,0,1,0,0,1,0,1
3,111,1.0,1.0,1,1,0,1,0,1,0,0,1,0,1,0
3,112,0.0,0.0,1,0,1,0,1,0,0,1,0,1,0,0
3,113,0.0,0.0,0,1,0,1,0,0,1,0,1,0,0,0
3,114,0.0,0.0,1,0,1,0,0,1,0,1,0,0,0,0
3,115,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0
3,116,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1
3,117,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0
3,118,0.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0
3,119,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0
3,120,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1
3,121,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1
3,122,1.0,1.0,0,0,0,0,0,1,0,0,0,1,1,0
3,123,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0
3,124,1.0,1.0,0,0,0,1,0,0,0,1,1,0,0,0
3,125,0.0,0.0,0,0,1,0,0,0,1,1,0,0,0,0
3,126,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0
3,127,1.0,1.0,1,0,0,0,1,1,0,0,0,0,0,0
3,128,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0
3,129,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1
3,130,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0
3,131,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0
3,132,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1
3,133,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
3,134,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1
3,135,1.0,1.0,0,0,0,0,0,1,0,0,1,0,1,0
3,136,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
3,137,1.0,1.0,0,0,0,1,0,0,1,0,1,0,0,1
3,138,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0
3,139,0.0,0.0,0,1,0,0,1,0,1,0,0,1,0,0
3,140,0.0,0.0,1,0,0,1,0,1,0,0,1,0,0,0
3,141,1.0,1.0,0,0,1,0,1,0,0,1,0,0,0,0
3,142,1.0,1.0,0,1,0,1,0,0,1,0,0,0,0,0
3,143,1.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0
3,144,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0
3,145,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1
3,146,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0
3,147,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1
3,148,1.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0
3,149,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
3,150,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0
3,151,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1
3,152,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,1
3,153,1.0,1.0,0,0,0,1,0,1,0,0,0,1,1,1
3,154,0.0,0.0,0,0,1,0,1,0,0,0,1,1,1,0
3,155,1.0,1.0,0,1,0,1,0,0,0,1,1,1,0,0
3,156,1.0,1.0,1,0,1,0,0,0,1,1,1,0,0,0
3,157,1.0,1.0,0,1,0,0,0,1,1,1,0,0,0,0
3,158,1.0,1.0,1,0,0,0,1,1,1,0,0,0,0,1
3,159,1.0,1.0,0,0,0,1,1,1,0,0,0,0,1,0
3,160,1.0,1.0,0,0,1,1,1,0,0,0,0,1,0,0
3,161,1.0,1.0,0,1,1,1,0,0,0,0,1,0,0,0
3,162,0.0,0.0,1,1,1,0,0,0,0,1,0,0,0,0
3,163,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,1
3,164,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0
3,165,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,1
3,166,1.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1
3,167,0.0,0.0,0,0,1,0,0,0,0,1,0,1,1,1
3,168,0.0,0.0,0,1,0,0,0,0,1,0,1,1,1,1
3,169,0.0,0.0,1,0,0,0,0,1,0,1,1,1,1,1
3,170,1.0,1.0,0,0,0,0,1,0,1,1,1,1,1,1
3,171,0.0,0.0,0,0,0,1,0,1,1,1,1,1,1,1
3,172,1.0,1.0,0,0,1,0,1,1,1,1,1,1,1,0
3,173,0.0,0.0,0,1,0,1,1,1,1,1,1,1,0,0
3,174,0.0,0.0,1,0,1,1,1,1,1,1,1,0,0,1
3,175,0.0,0.0,0,1,1,1,1,1,1,1,0,0,1,1
3,176,0.0,0.0,1,1,1,1,1,1,1,0,0,1,1,1
3,177,1.0,1.0,1,1,1,1,1,1,0,0,1,1,1,0
3,178,0.0,0.0,1,1,1,1,1,0,0,1,1,1,0,0
3,179,0.0,0.0,1,1,1,1,0,0,1,1,1,0,0,0
3,180,0.0,0.0,1,1,1,0,0,1,1,1,0,0,0,1
3,181,1.0,1.0,1,1,0,0,1,1,1,0,0,0,1,0
3,182,0.0,0.0,1,0,0,1,1,1,0,0,0,1,0,1
3,183,1.0,1.0,0,0,1,1,1,0,0,0,1,0,1,0
