spatial id,temporal id,Target (normal),Normal target,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,119,0.0,0.0,0,0,0,0,1,0,0,0
3,120,1.0,1.0,0,0,0,1,0,0,0,1
3,121,0.0,0.0,0,0,1,0,0,0,1,1
3,122,1.0,1.0,0,1,0,0,0,1,1,0
3,123,0.0,0.0,1,0,0,0,1,1,0,0
3,124,0.0,0.0,0,0,0,1,1,0,0,0
3,125,1.0,1.0,0,0,1,1,0,0,0,0
3,126,0.0,0.0,0,1,1,0,0,0,0,0
3,127,0.0,0.0,1,1,0,0,0,0,0,0
3,128,0.0,0.0,1,0,0,0,0,0,0,0
3,129,0.0,0.0,0,0,0,0,0,0,0,1
3,130,0.0,0.0,0,0,0,0,0,0,1,0
3,131,0.0,0.0,0,0,0,0,0,1,0,0
3,132,0.0,0.0,0,0,0,0,1,0,0,1
3,133,1.0,1.0,0,0,0,1,0,0,1,0
3,134,0.0,0.0,0,0,1,0,0,1,0,1
3,135,1.0,1.0,0,1,0,0,1,0,1,0
3,136,0.0,0.0,1,0,0,1,0,1,0,0
3,137,0.0,0.0,0,0,1,0,1,0,0,1
3,138,0.0,0.0,0,1,0,1,0,0,1,0
3,139,1.0,1.0,1,0,1,0,0,1,0,0
3,140,1.0,1.0,0,1,0,0,1,0,0,0
3,141,1.0,1.0,1,0,0,1,0,0,0,0
3,142,0.0,0.0,0,0,1,0,0,0,0,0
3,143,0.0,0.0,0,1,0,0,0,0,0,0
3,144,0.0,0.0,1,0,0,0,0,0,0,0
3,145,0.0,0.0,0,0,0,0,0,0,0,1
3,146,1.0,1.0,0,0,0,0,0,0,1,0
3,147,0.0,0.0,0,0,0,0,0,1,0,1
3,148,0.0,0.0,0,0,0,0,1,0,1,0
3,149,0.0,0.0,0,0,0,1,0,1,0,0
3,150,0.0,0.0,0,0,1,0,1,0,0,0
3,151,1.0,1.0,0,1,0,1,0,0,0,1
3,152,0.0,0.0,1,0,1,0,0,0,1,1
3,153,1.0,1.0,0,1,0,0,0,1,1,1
3,154,1.0,1.0,1,0,0,0,1,1,1,0
3,155,1.0,1.0,0,0,0,1,1,1,0,0
3,156,1.0,1.0,0,0,1,1,1,0,0,0
3,157,1.0,1.0,0,1,1,1,0,0,0,0
3,158,1.0,1.0,1,1,1,0,0,0,0,1
3,159,1.0,1.0,1,1,0,0,0,0,1,0
3,160,0.0,0.0,1,0,0,0,0,1,0,0
3,161,0.0,0.0,0,0,0,0,1,0,0,0
3,162,1.0,1.0,0,0,0,1,0,0,0,0
3,163,1.0,1.0,0,0,1,0,0,0,0,1
3,164,1.0,1.0,0,1,0,0,0,0,1,0
3,165,0.0,0.0,1,0,0,0,0,1,0,1
3,166,0.0,0.0,0,0,0,0,1,0,1,1
3,167,0.0,0.0,0,0,0,1,0,1,1,1
3,168,1.0,1.0,0,0,1,0,1,1,1,1
3,169,0.0,0.0,0,1,0,1,1,1,1,1
3,170,1.0,1.0,1,0,1,1,1,1,1,1
3,171,0.0,0.0,0,1,1,1,1,1,1,1
3,172,0.0,0.0,1,1,1,1,1,1,1,0
3,173,0.0,0.0,1,1,1,1,1,1,0,0
3,174,0.0,0.0,1,1,1,1,1,0,0,1
3,175,1.0,1.0,1,1,1,1,0,0,1,1
3,176,0.0,0.0,1,1,1,0,0,1,1,1
3,177,0.0,0.0,1,1,0,0,1,1,1,0
3,178,0.0,0.0,1,0,0,1,1,1,0,0
3,179,1.0,1.0,0,0,1,1,1,0,0,0
3,180,0.0,0.0,0,1,1,1,0,0,0,1
3,181,1.0,1.0,1,1,1,0,0,0,1,0
3,182,0.0,0.0,1,1,0,0,0,1,0,1
3,183,1.0,1.0,1,0,0,0,1,0,1,0
3,184,1.0,1.0,0,0,0,1,0,1,0,0
3,185,0.0,0.0,0,0,1,0,1,0,0,0
3,186,0.0,0.0,0,1,0,1,0,0,0,0
3,187,0.0,0.0,1,0,1,0,0,0,0,1
3,188,0.0,0.0,0,1,0,0,0,0,1,0
3,189,0.0,0.0,1,0,0,0,0,1,0,0
3,190,1.0,1.0,0,0,0,0,1,0,0,0
3,191,0.0,0.0,0,0,0,1,0,0,0,1
3,192,0.0,0.0,0,0,1,0,0,0,1,0
3,193,0.0,0.0,0,1,0,0,0,1,0,1
3,194,0.0,0.0,1,0,0,0,1,0,1,0
3,195,0.0,0.0,0,0,0,1,0,1,0,1
3,196,1.0,1.0,0,0,1,0,1,0,1,1
3,197,1.0,1.0,0,1,0,1,0,1,1,0
3,198,1.0,1.0,1,0,1,0,1,1,0,0
3,199,0.0,0.0,0,1,0,1,1,0,0,0
3,200,1.0,1.0,1,0,1,1,0,0,0,0
3,201,0.0,0.0,0,1,1,0,0,0,0,0
3,202,1.0,1.0,1,1,0,0,0,0,0,1
3,203,0.0,0.0,1,0,0,0,0,0,1,0
3,204,1.0,1.0,0,0,0,0,0,1,0,0
3,205,0.0,0.0,0,0,0,0,1,0,0,0
3,206,1.0,1.0,0,0,0,1,0,0,0,0
3,207,1.0,1.0,0,0,1,0,0,0,0,0
3,208,0.0,0.0,0,1,0,0,0,0,0,1
3,209,1.0,1.0,1,0,0,0,0,0,1,1
3,210,0.0,0.0,0,0,0,0,0,1,1,1
3,211,0.0,0.0,0,0,0,0,1,1,1,0
3,212,1.0,1.0,0,0,0,1,1,1,0,1
3,213,0.0,0.0,0,0,1,1,1,0,1,0
3,214,0.0,0.0,0,1,1,1,0,1,0,1
3,215,0.0,0.0,1,1,1,0,1,0,1,0
3,216,1.0,1.0,1,1,0,1,0,1,0,1
3,217,1.0,1.0,1,0,1,0,1,0,1,0
3,218,0.0,0.0,0,1,0,1,0,1,0,1
3,219,1.0,1.0,1,0,1,0,1,0,1,1
3,220,1.0,1.0,0,1,0,1,0,1,1,0
3,221,1.0,1.0,1,0,1,0,1,1,0,1
3,222,0.0,0.0,0,1,0,1,1,0,1,0
3,223,0.0,0.0,1,0,1,1,0,1,0,0
3,224,0.0,0.0,0,1,1,0,1,0,0,1
3,225,0.0,0.0,1,1,0,1,0,0,1,0
3,226,0.0,0.0,1,0,1,0,0,1,0,0
3,227,0.0,0.0,0,1,0,0,1,0,0,0
3,228,0.0,0.0,1,0,0,1,0,0,0,1
3,229,0.0,0.0,0,0,1,0,0,0,1,1
3,230,0.0,0.0,0,1,0,0,0,1,1,0
3,231,0.0,0.0,1,0,0,0,1,1,0,1
3,232,1.0,1.0,0,0,0,1,1,0,1,1
3,233,0.0,0.0,0,0,1,1,0,1,1,1
3,234,0.0,0.0,0,1,1,0,1,1,1,0
3,235,1.0,1.0,1,1,0,1,1,1,0,0
3,236,1.0,1.0,1,0,1,1,1,0,0,0
3,237,0.0,0.0,0,1,1,1,0,0,0,0
3,238,0.0,0.0,1,1,1,0,0,0,0,0
3,239,1.0,1.0,1,1,0,0,0,0,0,0
3,240,0.0,0.0,1,0,0,0,0,0,0,0
3,241,0.0,0.0,0,0,0,0,0,0,0,0
3,242,1.0,1.0,0,0,0,0,0,0,0,0
3,243,0.0,0.0,0,0,0,0,0,0,0,0
3,244,1.0,1.0,0,0,0,0,0,0,0,1
3,245,0.0,0.0,0,0,0,0,0,0,1,0
3,246,0.0,0.0,0,0,0,0,0,1,0,0
3,247,1.0,1.0,0,0,0,0,1,0,0,1
3,248,1.0,1.0,0,0,0,1,0,0,1,1
3,249,1.0,1.0,0,0,1,0,0,1,1,0
3,250,0.0,0.0,0,1,0,0,1,1,0,0
3,251,1.0,1.0,1,0,0,1,1,0,0,1
3,252,1.0,1.0,0,0,1,1,0,0,1,0
3,253,1.0,1.0,0,1,1,0,0,1,0,0
3,254,1.0,1.0,1,1,0,0,1,0,0,1
3,255,1.0,1.0,1,0,0,1,0,0,1,0
3,256,0.0,0.0,0,0,1,0,0,1,0,1
3,257,0.0,0.0,0,1,0,0,1,0,1,0
3,258,1.0,1.0,1,0,0,1,0,1,0,0
3,259,0.0,0.0,0,0,1,0,1,0,0,1
3,260,1.0,1.0,0,1,0,1,0,0,1,1
3,261,0.0,0.0,1,0,1,0,0,1,1,1
3,262,0.0,0.0,0,1,0,0,1,1,1,0
3,263,0.0,0.0,1,0,0,1,1,1,0,1
3,264,0.0,0.0,0,0,1,1,1,0,1,1
3,265,1.0,1.0,0,1,1,1,0,1,1,1
3,266,0.0,0.0,1,1,1,0,1,1,1,1
3,267,0.0,0.0,1,1,0,1,1,1,1,1
3,268,1.0,1.0,1,0,1,1,1,1,1,0
3,269,1.0,1.0,0,1,1,1,1,1,0,0
3,270,0.0,0.0,1,1,1,1,1,0,0,1
3,271,0.0,0.0,1,1,1,1,0,0,1,0
3,272,1.0,1.0,1,1,1,0,0,1,0,1
3,273,0.0,0.0,1,1,0,0,1,0,1,0
3,274,0.0,0.0,1,0,0,1,0,1,0,0
3,275,0.0,0.0,0,0,1,0,1,0,0,0
3,276,1.0,1.0,0,1,0,1,0,0,0,0
3,277,0.0,0.0,1,0,1,0,0,0,0,1
3,278,0.0,0.0,0,1,0,0,0,0,1,0
3,279,1.0,1.0,1,0,0,0,0,1,0,0
3,280,0.0,0.0,0,0,0,0,1,0,0,1
3,281,0.0,0.0,0,0,0,1,0,0,1,1
3,282,1.0,1.0,0,0,1,0,0,1,1,0
3,283,1.0,1.0,0,1,0,0,1,1,0,0
3,284,1.0,1.0,1,0,0,1,1,0,0,1
3,285,1.0,1.0,0,0,1,1,0,0,1,0
3,286,0.0,0.0,0,1,1,0,0,1,0,0
3,287,1.0,1.0,1,1,0,0,1,0,0,0
3,288,0.0,0.0,1,0,0,1,0,0,0,1
3,289,0.0,0.0,0,0,1,0,0,0,1,0
3,290,0.0,0.0,0,1,0,0,0,1,0,0
3,291,1.0,1.0,1,0,0,0,1,0,0,1
3,292,1.0,1.0,0,0,0,1,0,0,1,0
3,293,0.0,0.0,0,0,1,0,0,1,0,0
3,294,0.0,0.0,0,1,0,0,1,0,0,1
3,295,1.0,1.0,1,0,0,1,0,0,1,1
3,296,0.0,0.0,0,0,1,0,0,1,1,1
3,297,1.0,1.0,0,1,0,0,1,1,1,1
3,298,0.0,0.0,1,0,0,1,1,1,1,0
3,299,0.0,0.0,0,0,1,1,1,1,0,1
3,300,0.0,0.0,0,1,1,1,1,0,1,0
3,301,0.0,0.0,1,1,1,1,0,1,0,0
3,302,0.0,0.0,1,1,1,0,1,0,0,0
3,303,0.0,0.0,1,1,0,1,0,0,0,1
3,304,1.0,1.0,1,0,1,0,0,0,1,1
3,305,1.0,1.0,0,1,0,0,0,1,1,0
3,306,1.0,1.0,1,0,0,0,1,1,0,0
3,307,1.0,1.0,0,0,0,1,1,0,0,1
3,308,1.0,1.0,0,0,1,1,0,0,1,0
3,309,0.0,0.0,0,1,1,0,0,1,0,1
3,310,1.0,1.0,1,1,0,0,1,0,1,0
3,311,0.0,0.0,1,0,0,1,0,1,0,0
3,312,1.0,1.0,0,0,1,0,1,0,0,0
3,313,1.0,1.0,0,1,0,1,0,0,0,0
3,314,0.0,0.0,1,0,1,0,0,0,0,0
3,315,1.0,1.0,0,1,0,0,0,0,0,0
3,316,1.0,1.0,1,0,0,0,0,0,0,1
3,317,0.0,0.0,0,0,0,0,0,0,1,1
3,318,0.0,0.0,0,0,0,0,0,1,1,1
3,319,0.0,0.0,0,0,0,0,1,1,1,1
3,320,1.0,1.0,0,0,0,1,1,1,1,1
3,321,0.0,0.0,0,0,1,1,1,1,1,0
3,322,1.0,1.0,0,1,1,1,1,1,0,1
3,323,1.0,1.0,1,1,1,1,1,0,1,0
3,324,1.0,1.0,1,1,1,1,0,1,0,1
3,325,0.0,0.0,1,1,1,0,1,0,1,1
3,326,0.0,0.0,1,1,0,1,0,1,1,0
3,327,1.0,1.0,1,0,1,0,1,1,0,1
