spatial id,temporal id,Target (normal),Normal target,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
1,31,0.0,0.0,0,0,1,0,0,0,0,1,0,0
2,31,0.0,0.0,0,0,0,0,1,0,0,0,0,0
5,31,1.0,1.0,1,0,0,0,0,1,0,0,0,0
6,31,1.0,1.0,1,1,1,0,0,1,1,0,0,0
1,32,0.0,0.0,0,1,0,0,0,0,1,0,0,1
2,32,0.0,0.0,0,0,0,1,0,0,0,0,0,0
5,32,1.0,1.0,0,0,0,0,1,0,0,0,0,0
6,32,1.0,1.0,1,1,0,0,1,1,0,0,0,0
1,33,1.0,1.0,1,0,0,0,0,1,0,0,1,1
2,33,1.0,1.0,0,0,1,0,0,0,0,0,0,1
5,33,1.0,1.0,0,0,0,1,0,0,0,0,0,1
6,33,1.0,1.0,1,0,0,1,1,0,0,0,0,1
1,34,0.0,0.0,0,0,0,0,1,0,0,1,1,1
2,34,0.0,0.0,0,1,0,0,0,0,0,0,1,0
5,34,0.0,0.0,0,0,1,0,0,0,0,0,1,0
6,34,0.0,0.0,0,0,1,1,0,0,0,0,1,0
1,35,0.0,0.0,0,0,0,1,0,0,1,1,1,0
2,35,0.0,0.0,1,0,0,0,0,0,0,1,0,0
5,35,0.0,0.0,0,1,0,0,0,0,0,1,0,1
6,35,1.0,1.0,0,1,1,0,0,0,0,1,0,1
1,36,1.0,1.0,0,0,1,0,0,1,1,1,0,1
2,36,0.0,0.0,0,0,0,0,0,0,1,0,0,0
5,36,0.0,0.0,1,0,0,0,0,0,1,0,1,1
6,36,1.0,1.0,1,1,0,0,0,0,1,0,1,0
1,37,1.0,1.0,0,1,0,0,1,1,1,0,1,0
2,37,0.0,0.0,0,0,0,0,0,1,0,0,0,0
5,37,0.0,0.0,0,0,0,0,0,1,0,1,1,0
6,37,1.0,1.0,1,0,0,0,0,1,0,1,0,1
1,38,0.0,0.0,1,0,0,1,1,1,0,1,0,1
2,38,0.0,0.0,0,0,0,0,1,0,0,0,0,0
5,38,0.0,0.0,0,0,0,0,1,0,1,1,0,0
6,38,1.0,1.0,0,0,0,0,1,0,1,0,1,1
1,39,1.0,1.0,0,0,1,1,1,0,1,0,1,0
2,39,0.0,0.0,0,0,0,1,0,0,0,0,0,0
5,39,1.0,1.0,0,0,0,1,0,1,1,0,0,0
6,39,0.0,0.0,0,0,0,1,0,1,0,1,1,0
1,40,1.0,1.0,0,1,1,1,0,1,0,1,0,0
2,40,0.0,0.0,0,0,1,0,0,0,0,0,0,0
5,40,0.0,0.0,0,0,1,0,1,1,0,0,0,1
6,40,0.0,0.0,0,0,1,0,1,0,1,1,0,1
1,41,1.0,1.0,1,1,1,0,1,0,1,0,0,0
2,41,0.0,0.0,0,1,0,0,0,0,0,0,0,0
5,41,1.0,1.0,0,1,0,1,1,0,0,0,1,1
6,41,0.0,0.0,0,1,0,1,0,1,1,0,1,1
1,42,0.0,0.0,1,1,0,1,0,1,0,0,0,1
2,42,0.0,0.0,1,0,0,0,0,0,0,0,0,1
5,42,0.0,0.0,1,0,1,1,0,0,0,1,1,1
6,42,0.0,0.0,1,0,1,0,1,1,0,1,1,1
1,43,0.0,0.0,1,0,1,0,1,0,0,0,1,0
2,43,0.0,0.0,0,0,0,0,0,0,0,0,1,0
5,43,0.0,0.0,0,1,1,0,0,0,1,1,1,0
6,43,0.0,0.0,0,1,0,1,1,0,1,1,1,0
1,44,0.0,0.0,0,1,0,1,0,0,0,1,0,0
2,44,0.0,0.0,0,0,0,0,0,0,0,1,0,0
5,44,0.0,0.0,1,1,0,0,0,1,1,1,0,0
6,44,1.0,1.0,1,0,1,1,0,1,1,1,0,1
1,45,1.0,1.0,1,0,1,0,0,0,1,0,0,1
2,45,0.0,0.0,0,0,0,0,0,0,1,0,0,0
5,45,1.0,1.0,1,0,0,0,1,1,1,0,0,0
6,45,1.0,1.0,0,1,1,0,1,1,1,0,1,1
1,46,0.0,0.0,0,1,0,0,0,1,0,0,1,1
2,46,0.0,0.0,0,0,0,0,0,1,0,0,0,0
5,46,1.0,1.0,0,0,0,1,1,1,0,0,0,0
6,46,0.0,0.0,1,1,0,1,1,1,0,1,1,1
1,47,0.0,0.0,1,0,0,0,1,0,0,1,1,0
2,47,1.0,1.0,0,0,0,0,1,0,0,0,0,0
5,47,1.0,1.0,0,0,1,1,1,0,0,0,0,0
6,47,1.0,1.0,1,0,1,1,1,0,1,1,1,1
1,48,1.0,1.0,0,0,0,1,0,0,1,1,0,1
2,48,0.0,0.0,0,0,0,1,0,0,0,0,0,0
5,48,1.0,1.0,0,1,1,1,0,0,0,0,0,1
6,48,0.0,0.0,0,1,1,1,0,1,1,1,1,0
1,49,1.0,1.0,0,0,1,0,0,1,1,0,1,1
2,49,0.0,0.0,0,0,1,0,0,0,0,0,0,0
5,49,0.0,0.0,1,1,1,0,0,0,0,0,1,0
6,49,1.0,1.0,1,1,1,0,1,1,1,1,0,0
1,50,0.0,0.0,0,1,0,0,1,1,0,1,1,1
2,50,1.0,1.0,0,1,0,0,0,0,0,0,0,0
5,50,0.0,0.0,1,1,0,0,0,0,0,1,0,1
6,50,1.0,1.0,1,1,0,1,1,1,1,0,0,0
1,51,0.0,0.0,1,0,0,1,1,0,1,1,1,0
2,51,0.0,0.0,1,0,0,0,0,0,0,0,0,0
5,51,0.0,0.0,1,0,0,0,0,0,1,0,1,0
6,51,1.0,1.0,1,0,1,1,1,1,0,0,0,0
1,52,0.0,0.0,0,0,1,1,0,1,1,1,0,0
2,52,1.0,1.0,0,0,0,0,0,0,0,0,0,0
5,52,0.0,0.0,0,0,0,0,0,1,0,1,0,0
6,52,1.0,1.0,0,1,1,1,1,0,0,0,0,0
1,53,1.0,1.0,0,1,1,0,1,1,1,0,0,0
2,53,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,53,0.0,0.0,0,0,0,0,1,0,1,0,0,0
6,53,1.0,1.0,1,1,1,1,0,0,0,0,0,1
1,54,1.0,1.0,1,1,0,1,1,1,0,0,0,1
2,54,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,54,0.0,0.0,0,0,0,1,0,1,0,0,0,1
