spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
4,20,0.0,0.0,0,1,0,1,0,0,0
5,20,0.0,0.0,0,0,0,1,0,0,0
6,20,0.0,0.0,1,0,1,0,1,0,1
7,20,0.0,0.0,0,1,1,0,0,0,0
8,20,0.0,0.0,0,1,1,0,0,0,1
9,20,0.0,0.0,0,0,0,0,0,0,0
1,21,1.0,1.0,0,0,0,1,0,0,1
2,21,0.0,0.0,0,1,1,0,0,0,0
3,21,0.0,0.0,1,0,0,0,0,1,0
4,21,0.0,0.0,1,0,1,0,0,0,0
5,21,0.0,0.0,0,0,1,0,0,0,1
6,21,0.0,0.0,0,1,0,1,0,1,1
7,21,0.0,0.0,1,1,0,0,0,0,0
8,21,0.0,0.0,1,1,0,0,0,1,0
9,21,0.0,0.0,0,0,0,0,0,0,0
1,22,1.0,1.0,0,0,1,0,0,1,0
2,22,1.0,1.0,1,1,0,0,0,0,0
3,22,0.0,0.0,0,0,0,0,1,0,0
4,22,0.0,0.0,0,1,0,0,0,0,0
5,22,1.0,1.0,0,1,0,0,0,1,1
6,22,1.0,1.0,1,0,1,0,1,1,1
7,22,0.0,0.0,1,0,0,0,0,0,0
8,22,0.0,0.0,1,0,0,0,1,0,0
9,22,0.0,0.0,0,0,0,0,0,0,0
1,23,1.0,1.0,0,1,0,0,1,0,0
2,23,0.0,0.0,1,0,0,0,0,0,0
3,23,0.0,0.0,0,0,0,1,0,0,0
4,23,0.0,0.0,1,0,0,0,0,0,0
5,23,0.0,0.0,1,0,0,0,1,1,0
6,23,0.0,0.0,0,1,0,1,1,1,1
7,23,0.0,0.0,0,0,0,0,0,0,0
8,23,0.0,0.0,0,0,0,1,0,0,0
9,23,0.0,0.0,0,0,0,0,0,0,0
1,24,0.0,0.0,1,0,0,1,0,0,1
2,24,0.0,0.0,0,0,0,0,0,0,0
3,24,0.0,0.0,0,0,1,0,0,0,0
4,24,0.0,0.0,0,0,0,0,0,0,0
5,24,1.0,1.0,0,0,0,1,1,0,0
6,24,1.0,1.0,1,0,1,1,1,1,1
7,24,0.0,0.0,0,0,0,0,0,0,0
8,24,0.0,0.0,0,0,1,0,0,0,0
9,24,0.0,0.0,0,0,0,0,0,0,0
1,25,1.0,1.0,0,0,1,0,0,1,0
2,25,0.0,0.0,0,0,0,0,0,0,0
3,25,0.0,0.0,0,1,0,0,0,0,0
4,25,0.0,0.0,0,0,0,0,0,0,0
5,25,1.0,1.0,0,0,1,1,0,0,0
6,25,0.0,0.0,0,1,1,1,1,1,0
7,25,0.0,0.0,0,0,0,0,0,0,0
8,25,0.0,0.0,0,1,0,0,0,0,0
9,25,0.0,0.0,0,0,0,0,0,0,0
1,26,0.0,0.0,0,1,0,0,1,0,0
2,26,0.0,0.0,0,0,0,0,0,0,1
3,26,0.0,0.0,1,0,0,0,0,0,0
4,26,0.0,0.0,0,0,0,0,0,0,0
5,26,0.0,0.0,0,1,1,0,0,0,0
6,26,1.0,1.0,1,1,1,1,1,0,0
7,26,0.0,0.0,0,0,0,0,0,0,0
8,26,0.0,0.0,1,0,0,0,0,0,0
9,26,0.0,0.0,0,0,0,0,0,0,0
1,27,1.0,1.0,1,0,0,1,0,0,0
2,27,0.0,0.0,0,0,0,0,0,1,0
3,27,0.0,0.0,0,0,0,0,0,0,0
4,27,0.0,0.0,0,0,0,0,0,0,0
5,27,0.0,0.0,1,1,0,0,0,0,1
6,27,1.0,1.0,1,1,1,1,0,0,1
7,27,0.0,0.0,0,0,0,0,0,0,0
8,27,0.0,0.0,0,0,0,0,0,0,0
9,27,0.0,0.0,0,0,0,0,0,0,0
1,28,0.0,0.0,0,0,1,0,0,0,0
2,28,0.0,0.0,0,0,0,0,1,0,0
3,28,0.0,0.0,0,0,0,0,0,0,0
4,28,0.0,0.0,0,0,0,0,0,0,0
5,28,0.0,0.0,1,0,0,0,0,1,0
6,28,0.0,0.0,1,1,1,0,0,1,1
7,28,0.0,0.0,0,0,0,0,0,0,0
8,28,0.0,0.0,0,0,0,0,0,0,0
9,28,0.0,0.0,0,0,0,0,0,0,0
1,29,0.0,0.0,0,1,0,0,0,0,1
2,29,0.0,0.0,0,0,0,1,0,0,0
3,29,0.0,0.0,0,0,0,0,0,0,0
4,29,0.0,0.0,0,0,0,0,0,0,0
5,29,1.0,1.0,0,0,0,0,1,0,0
6,29,1.0,1.0,1,1,0,0,1,1,0
7,29,0.0,0.0,0,0,0,0,0,0,0
8,29,0.0,0.0,0,0,0,0,0,0,0
9,29,0.0,0.0,0,0,0,0,0,0,0
1,30,0.0,0.0,1,0,0,0,0,1,0
2,30,0.0,0.0,0,0,1,0,0,0,0
3,30,1.0,1.0,0,0,0,0,0,0,1
4,30,0.0,0.0,0,0,0,0,0,0,0
5,30,1.0,1.0,0,0,0,1,0,0,0
6,30,1.0,1.0,1,0,0,1,1,0,0
