spatial id,temporal id,Target (normal),Normal target,occurrence t
3,227,1.0,1.0,0
3,228,0.0,0.0,1
3,229,0.0,0.0,1
3,230,0.0,0.0,0
3,231,0.0,0.0,1
3,232,0.0,0.0,1
3,233,0.0,0.0,1
3,234,0.0,0.0,0
3,235,0.0,0.0,0
3,236,0.0,0.0,0
3,237,0.0,0.0,0
3,238,1.0,1.0,0
3,239,0.0,0.0,0
3,240,0.0,0.0,0
3,241,1.0,1.0,0
3,242,1.0,1.0,0
3,243,0.0,0.0,0
3,244,0.0,0.0,1
3,245,1.0,1.0,0
3,246,0.0,0.0,0
3,247,0.0,0.0,1
3,248,1.0,1.0,1
3,249,0.0,0.0,0
3,250,1.0,1.0,0
3,251,0.0,0.0,1
3,252,0.0,0.0,0
3,253,1.0,1.0,0
3,254,1.0,1.0,1
3,255,1.0,1.0,0
3,256,0.0,0.0,1
3,257,1.0,1.0,0
3,258,1.0,1.0,0
3,259,1.0,1.0,1
3,260,1.0,1.0,1
3,261,1.0,1.0,1
3,262,0.0,0.0,0
3,263,0.0,0.0,1
3,264,1.0,1.0,1
3,265,0.0,0.0,1
3,266,1.0,1.0,1
3,267,0.0,0.0,1
3,268,0.0,0.0,0
3,269,0.0,0.0,0
3,270,0.0,0.0,1
3,271,1.0,1.0,0
3,272,0.0,0.0,1
3,273,0.0,0.0,0
3,274,1.0,1.0,0
3,275,1.0,1.0,0
3,276,0.0,0.0,0
3,277,0.0,0.0,1
3,278,1.0,1.0,0
3,279,0.0,0.0,0
3,280,0.0,0.0,1
3,281,0.0,0.0,1
3,282,1.0,1.0,0
3,283,0.0,0.0,0
3,284,0.0,0.0,1
3,285,1.0,1.0,0
3,286,0.0,0.0,0
3,287,0.0,0.0,0
3,288,1.0,1.0,1
3,289,1.0,1.0,0
3,290,1.0,1.0,0
3,291,1.0,1.0,1
3,292,0.0,0.0,0
3,293,1.0,1.0,0
3,294,0.0,0.0,1
3,295,0.0,0.0,1
3,296,0.0,0.0,1
3,297,1.0,1.0,1
3,298,1.0,1.0,0
3,299,0.0,0.0,1
3,300,0.0,0.0,0
3,301,1.0,1.0,0
3,302,0.0,0.0,0
3,303,1.0,1.0,1
3,304,0.0,0.0,1
3,305,0.0,0.0,0
3,306,0.0,0.0,0
3,307,0.0,0.0,1
3,308,0.0,0.0,0
3,309,0.0,0.0,1
3,310,1.0,1.0,0
3,311,1.0,1.0,0
3,312,1.0,1.0,0
3,313,1.0,1.0,0
3,314,1.0,1.0,0
3,315,0.0,0.0,0
3,316,1.0,1.0,1
3,317,0.0,0.0,1
3,318,1.0,1.0,1
3,319,1.0,1.0,1
3,320,0.0,0.0,1
3,321,1.0,1.0,0
3,322,1.0,1.0,1
3,323,0.0,0.0,0
3,324,0.0,0.0,1
3,325,0.0,0.0,1
3,326,1.0,1.0,0
3,327,0.0,0.0,1
3,328,1.0,1.0,1
3,329,1.0,1.0,0
3,330,1.0,1.0,0
3,331,0.0,0.0,0
3,332,0.0,0.0,1
3,333,1.0,1.0,0
3,334,1.0,1.0,1
3,335,0.0,0.0,1
3,336,1.0,1.0,1
